Область,Рік,Найгірший бал з Математики
Вінницька область,2019,100
Вінницька область,2020,100
Волинська область,2019,100
Волинська область,2020,100
Дніпропетровська область,2019,100
Дніпропетровська область,2020,100
Донецька область,2019,100
Донецька область,2020,100
Житомирська область,2019,100
Житомирська область,2020,100
Закарпатська область,2019,100
Закарпатська область,2020,100
Запорізька область,2019,100
Запорізька область,2020,100
Івано-Франківська область,2019,100
Івано-Франківська область,2020,100
Київська область,2019,100
Київська область,2020,100
Кіровоградська область,2019,100
Кіровоградська область,2020,100
Луганська область,2019,100
Луганська область,2020,100
Львівська область,2019,100
Львівська область,2020,100
м.Київ,2019,100
м.Київ,2020,100
Миколаївська область,2019,100
Миколаївська область,2020,100
Одеська область,2019,100
Одеська область,2020,100
Полтавська область,2019,100
Полтавська область,2020,100
Рівненська область,2019,100
Рівненська область,2020,100
Сумська область,2019,100
Сумська область,2020,100
Тернопільська область,2019,100
Тернопільська область,2020,100
Харківська область,2019,100
Харківська область,2020,100
Херсонська область,2019,100
Херсонська область,2020,100
Хмельницька область,2019,100
Хмельницька область,2020,100
Черкаська область,2019,100
Черкаська область,2020,100
Чернівецька область,2019,100
Чернівецька область,2020,100
Чернігівська область,2019,100
Чернігівська область,2020,100
